Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
B8	15	797	HET	Plate_3	-0.15706138	1.1596351
B8	23	797	HET	Plate_3	0.6777312	-1.1802176
F3	8	174	WT	Plate_3_prime	1.0402728	2.2910182
G7	24	226	HET	Plate_3	-0.38804477	2.7731872
B3	15	77	WT	Plate_3_prime	0.8447654	2.085814
D12	5	193	Null	Plate_3_prime	-0.6822756	3.6624818
F12	24	647	Null	Plate_3	-3.5937717	2.5732245
E10	18	74	Null	Plate_3_prime	0.27965033	2.8185806
B6	23	104	HET	Plate_3_prime	0.9932437	2.808579
D1	14	47	WT	Plate_3_prime	0.75743157	-1.5085714
B11	21	148	Null	Plate_5	2.2812645	3.0530827
D4	7	358	WT	Plate_3_prime	2.7683625	5.373711
G5	20	76	HET	Plate_3	2.4198859	2.5032058
D12	4	623	Null	Plate_3	1.4117383	-1.7876607
E2	17	102	WT	Plate_5	1.3478	1.5982276
G8	15	625	HET	Plate_3	2.4261334	4.4487824
F10	7	152	Null	Plate_5	0.8746217	5.2493496
F6	24	117	HET	Plate_3_prime	0.032582738	4.0689054
B5	3	101	HET	Plate_5	1.709704	4.2915187
G12	20	481	Null	Plate_3	-0.9971756	5.6280737
B11	6	279	Null	Plate_3	0.92488694	4.680763
F8	22	557	HET	Plate_3	0.4880578	-0.26435608
E10	10	132	Null	Plate_5	-0.28484532	4.867813
C11	13	154	Null	Plate_5	0.9117276	2.9434085
F12	15	647	Null	Plate_3	-0.19833855	0.6493362
B3	20	77	WT	Plate_3_prime	2.223251	2.8986292
D11	1	216	Null	Plate_3	-0.10513172	4.3290257
D11	17	216	Null	Plate_3	3.1304364	2.5300708
B8	11	797	HET	Plate_3	-0.42210615	1.1256168
G8	13	358	HET	Plate_3_prime	-0.8317765	1.0917404
D12	25	193	Null	Plate_3_prime	2.5992687	5.099819
D9	10	135	Null	Plate_5	1.2113833	1.9481816
G3	9	187	WT	Plate_3	0.4809335	0.4321892
B7	20	257	HET	Plate_3	-0.33636713	5.8573227
B3	20	297	WT	Plate_3	-0.4340136	3.0449393
E4	23	246	WT	Plate_3_prime	1.8057584	4.3587894
B7	21	78	HET	Plate_5	0.27797237	3.1644142
D4	3	636	WT	Plate_3	-1.7228361	5.0275397
D4	25	358	WT	Plate_3_prime	-1.3204117	2.769581
D12	1	106	Null	Plate_5	1.3774103	1.6528016
B1	17	45	WT	Plate_3	2.363683	1.340225
B3	4	297	WT	Plate_3	-0.78572655	4.953262
B7	25	33	HET	Plate_3_prime	0.64441496	6.0983567
G11	9	250	Null	Plate_3	-5.5646563	2.1087275
B11	1	148	Null	Plate_5	1.8713015	4.429769
E8	20	705	HET	Plate_3	-3.8460286	2.4645889
B11	14	279	Null	Plate_3	0.2839115	1.4081595
F3	12	174	WT	Plate_3_prime	2.308463	4.564357
G12	21	121	Null	Plate_5	1.582086	2.9266064
B8	22	797	HET	Plate_3	-2.434373	3.3981502
E10	3	118	Null	Plate_3	0.9989336	2.9923496
G4	5	386	WT	Plate_3	0.025930082	3.047472
F12	19	647	Null	Plate_3	-0.5332836	4.721835
E11	5	59	Null	Plate_3_prime	2.1742532	1.7961402
E12	6	115	Null	Plate_5	-0.3493196	4.369148
F11	8	329	Null	Plate_3	0.46962798	4.708222
