Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
D3	22	168	WT	5.2565866	-2.5691657
B3	24	77	WT	5.285245	-2.4561627
E2	21	60	WT	3.0562365	-0.48858112
E12	23	328	Null	2.5963166	-2.4832609
G3	19	248	WT	1.0802575	-2.5413666
E5	1	53	HET	1.6362067	-3.0200198
D11	13	100	Null	0.4185659	-1.2245039
E12	4	328	Null	2.3134727	-4.4472446
F4	4	284	WT	3.0121877	-2.5778735
F4	19	284	WT	1.5742635	-3.6118102
F4	22	284	WT	2.683499	-4.7588525
C6	13	98	HET	4.0132875	1.041094
E11	4	59	Null	1.1531618	-2.5245337
C6	22	98	HET	4.336037	0.8438824
F4	8	284	WT	2.795025	-3.9809039
D4	12	358	WT	0.92381513	-4.1325917
G4	19	388	WT	0.44323117	-3.998258
G8	15	358	HET	0.070265114	-2.7688136
D4	18	358	WT	4.812007	-4.7624454
C5	1	29	HET	5.058617	-2.2679875
C4	24	127	WT	2.7657444	-3.3642976
B9	8	47	Null	3.7941697	-1.3991815
B5	11	45	HET	5.2349343	-1.984122
F7	20	40	HET	0.12807488	-3.6792417
F3	22	174	WT	1.3765614	-4.8113027
D3	7	168	WT	4.8282905	-3.4197323
B1	7	30	WT	3.2841156	-0.96653575
F11	24	100	Null	1.7542661	-2.5807066
B12	24	200	Null	1.1411532	-5.066369
D4	4	358	WT	1.9860362	-3.2793546
G5	18	66	HET	2.4434645	-0.9372982
G3	19	248	WT	2.0040333	-2.2993116
G2	23	94	WT	3.0318782	0.059859067
C4	9	127	WT	0.97173417	-5.0545716
B7	20	33	HET	0.90655226	-3.3521512
D11	3	100	Null	-0.21981715	-2.958346
D4	13	358	WT	1.4296632	-4.4829903
B3	24	77	WT	4.577274	-2.8823452
F4	20	284	WT	1.1442544	-3.9986804
E12	19	328	Null	3.7297082	-5.491743
F3	25	174	WT	1.6907916	-0.59085214
C12	17	321	Null	4.022217	-4.1416926
G4	14	388	WT	1.6023651	-4.2416205
E6	22	94	HET	3.651454	-1.5475045
D12	10	193	Null	4.2207575	-4.1567044
B9	8	47	Null	3.4319868	-1.4461677
G8	25	358	HET	0.87807566	-4.018074
E6	8	94	HET	3.6232579	-0.81906503
F12	18	125	Null	2.6217716	-2.5983143
B4	25	219	WT	-0.47732183	-0.13602203
G4	17	388	WT	0.8698596	-4.5287704
C12	19	321	Null	1.8704456	-5.524409
B4	10	219	WT	1.8431777	-3.5612266
G8	23	358	HET	1.0984637	-0.58207303
B11	23	53	Null	5.015182	-2.0974376
B12	14	200	Null	5.351501	-3.4665422
E12	14	328	Null	3.5179837	-3.9789298
D4	5	358	WT	2.1479754	-5.021786
D4	8	358	WT	4.162077	-4.1013584
G3	24	248	WT	0.844129	-3.2809932
D12	23	193	Null	1.976658	-3.4962347
C3	8	138	WT	4.6874814	-3.245842
G7	9	82	HET	1.0166805	-1.1194698
D12	5	193	Null	1.2860721	-4.6104593
G4	4	388	WT	3.037945	-6.2559276
C6	14	98	HET	3.1553884	0.3804419
D3	9	168	WT	1.7753794	-1.9745979
G5	22	66	HET	0.69806135	-2.1817224
G2	17	94	WT	2.778096	0.3168138
D5	18	39	HET	3.181859	1.2001683
E10	18	74	Null	2.3130066	-0.4267463
B4	14	219	WT	1.3251967	-5.0264363
F4	5	284	WT	2.202764	-5.097082
D12	4	193	Null	3.4316363	-6.52756
C12	18	321	Null	4.26425	-4.2688675
G11	17	142	Null	0.15503305	-3.5758495
G3	7	248	WT	1.093532	-3.0730743
G12	9	187	Null	1.1295397	-3.1399539
G6	9	125	HET	2.4760013	0.17731866
F7	24	40	HET	0.32455188	-3.9522822
C12	4	321	Null	4.118584	-3.8706558
G4	5	388	WT	4.71943	-3.7075036
D4	15	358	WT	-0.40470603	-0.1334641
B3	24	77	WT	0.34643593	-3.157842
C7	25	54	HET	0.9410291	-2.7229576
F4	8	284	WT	2.266459	-4.3980904
D6	6	99	HET	3.7370162	0.21461707
F4	25	284	WT	4.575109	-4.8981576
D10	13	51	Null	3.4430716	-0.3729535
B6	14	104	HET	3.301767	1.0316222
G3	25	248	WT	2.683913	-2.7896166
E12	25	328	Null	0.067499496	-0.35975453
E5	11	53	HET	2.4516323	0.28447932
D3	25	168	WT	5.1666107	-2.978176
B8	23	107	HET	0.8391406	-2.7752452
D12	10	193	Null	4.5353093	-4.17448
D10	2	51	Null	0.015473658	0.41456622
G11	3	142	Null	4.575367	-2.7776895
F6	23	117	HET	2.7315943	-0.34421003
G8	15	358	HET	0.46314076	-2.4820876
F3	18	174	WT	2.3709502	-4.596955
B12	15	200	Null	4.617728	-4.615604
F9	14	36	Null	2.2731776	0.42571098
C3	9	138	WT	4.7029843	-3.340374
G11	23	142	Null	1.32602	-1.9894023
B4	20	219	WT	3.319756	-5.000769
G3	19	248	WT	2.6397433	-2.7717662
F12	25	125	Null	1.957112	-1.916638
G3	23	248	WT	0.5816848	-4.4547124
E11	13	59	Null	1.5049992	-5.114991
F3	15	174	WT	4.616753	-3.408834
D1	18	47	WT	1.5040084	-0.5207228
F10	18	66	Null	3.037768	0.022810873
F12	9	125	Null	2.9166822	-4.2094936
G3	4	248	WT	0.8837965	-3.2174592
F6	1	117	HET	3.204177	-0.24866731
D10	13	51	Null	3.464389	0.7563088
G6	16	125	HET	2.0169911	0.13348116
G3	16	248	WT	4.8181214	-2.7789297
C6	23	98	HET	4.514959	0.31375903
B11	20	53	Null	2.517406	-2.3804612
B4	4	219	WT	2.8900182	-3.3009157
F4	17	284	WT	4.8708754	-3.278529
G7	7	82	HET	-1.236114	-3.5964937
G4	5	388	WT	1.7898104	-5.8651047
F4	9	284	WT	0.99802077	-4.025969
G12	20	187	Null	1.9331828	-3.8146842
F6	12	117	HET	1.9475703	-0.8888271
E12	18	328	Null	-0.44168848	-0.11410609
F4	5	284	WT	0.88252217	-4.373432
B11	18	53	Null	1.7699984	-4.027501
B8	25	107	HET	3.430217	-3.6954064
D12	5	193	Null	0.43816832	-1.4898524
G2	4	94	WT	3.7487562	-0.06768917
E4	15	246	WT	2.2325056	-4.371155
B6	3	104	HET	2.8078716	-0.15367825
C11	24	54	Null	4.1849904	-3.6809337
F4	9	284	WT	1.775915	-3.1260297
G2	20	94	WT	4.1815863	0.48146942
F4	5	284	WT	2.9599912	-6.214959
D6	12	99	HET	2.673027	-0.9538478
C4	24	127	WT	2.7105026	-4.763046
G4	19	388	WT	1.5544709	-5.3960633
B11	23	53	Null	2.0137534	-4.8482366
F4	5	284	WT	3.4110098	-7.004532
E11	20	59	Null	3.3322582	-2.6374166
G8	15	358	HET	0.6775192	-2.2922199
E4	10	246	WT	1.0951728	-2.8872578
F12	23	125	Null	3.9980617	-4.80209
F11	23	100	Null	2.1281464	-2.7973032
G6	16	125	HET	2.301988	0.19633508
D4	3	358	WT	1.495161	-4.3252087
F12	18	125	Null	1.4895804	-3.3003254
F3	17	174	WT	4.2956457	-2.9902103
G3	19	248	WT	1.9384301	-2.6271846
F4	15	284	WT	4.5816493	-4.0983486
E12	10	328	Null	1.0815002	-1.4438998
B11	24	53	Null	0.12775582	-4.513124
B12	15	200	Null	1.8875006	-5.7320848
B4	14	219	WT	1.3722951	-3.9960697
D4	13	358	WT	1.5830907	-4.797815
G6	11	125	HET	3.1756036	0.22236244
D4	15	358	WT	1.8803645	-5.863885
B4	20	219	WT	3.60826	-3.2463336
C2	7	42	WT	4.264264	-0.15209834
D12	24	193	Null	4.843403	-2.9718072
G7	5	82	HET	1.0425044	-0.42628992
G8	4	358	HET	1.5174371	-2.2509413
G4	12	388	WT	2.9201348	-5.1672926
F11	18	100	Null	3.7689931	-2.5686803
C11	23	54	Null	0.3649495	-3.6692145
G3	16	248	WT	-0.43119222	-0.09559759
D3	19	168	WT	0.7662201	-3.7921007
G6	22	125	HET	3.5847588	-0.97568995
G8	20	358	HET	2.7230108	-3.5819473
E2	25	60	WT	3.5289316	-0.17795925
C7	24	54	HET	1.5735983	-1.6920788
G8	20	358	HET	3.2997043	-1.8170229
F12	23	125	Null	2.1123834	-4.085838
D8	18	122	HET	3.1244905	-3.4706066
C3	4	138	WT	5.136124	-2.5240269
G10	1	72	Null	1.8633107	-0.2938633
G12	15	187	Null	0.060413346	-0.13557234
F2	17	91	WT	4.8263354	-0.34445333
F3	16	174	WT	2.5448358	-3.4871466
D11	15	100	Null	0.2632763	-1.8675101
C3	15	138	WT	0.30599004	-4.5379725
D4	15	358	WT	1.9502294	-5.60799
E10	9	74	Null	3.4980958	-1.0062778
