Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_5	9	E10	Null	132	-2.0801415	-1.705212
Plate_3	2	C4	WT	666	1.6684368	1.8343862
Plate_3	2	B3	WT	297	3.3703558	-2.57608
Plate_3_prime	24	E4	WT	246	3.2856333	-2.2752118
Plate_3	4	B11	Null	279	0.8978337	-3.077058
Plate_5	7	F3	WT	92	2.399218	1.9447634
Plate_3_prime	7	D1	WT	47	-1.7836168	-1.7518324
Plate_3_prime	7	E10	Null	74	1.7368367	-2.8746486
Plate_3	4	F12	Null	647	3.4407992	1.4574726
Plate_5	3	D11	Null	178	0.052986234	-0.41983342
Plate_3	18	C4	WT	666	1.3817285	1.6064543
Plate_3	23	B11	Null	279	2.9427469	-1.8818728
Plate_3_prime	13	F2	WT	91	-0.60845345	-0.8768086
Plate_3_prime	4	G4	WT	388	2.8131657	-3.4734304
Plate_3_prime	23	B11	Null	53	3.7662542	-1.8649321
Plate_3_prime	20	F11	Null	100	2.71958	2.0004504
Plate_5	16	E11	Null	185	0.5653886	-3.0700579
Plate_3_prime	9	G4	WT	388	3.1470528	0.073744886
Plate_3	5	E12	Null	607	1.7115847	-0.5259074
Plate_3	19	D12	Null	623	2.6444604	1.5075434
Plate_5	15	D2	WT	98	1.4884053	-2.5976827
Plate_3	4	D4	WT	636	1.7556292	0.16655749
Plate_3	25	C3	WT	346	1.8952173	-0.9782178
Plate_3_prime	7	C12	Null	321	2.0173163	2.827082
Plate_5	9	E9	Null	120	2.1799195	-2.734191
Plate_3	18	F12	Null	647	4.268604	0.03193871
Plate_3_prime	20	E11	Null	59	0.67377007	1.4085826
Plate_3	11	C12	Null	570	4.5538363	0.73207325
Plate_3_prime	22	C4	WT	127	0.97946686	1.806981
Plate_3	24	C12	Null	570	2.2036178	-2.2437136
Plate_3	24	C4	WT	666	3.504407	-1.5282005
Plate_3	25	E12	Null	607	3.5281882	0.74275786
Plate_5	10	G3	WT	121	3.7086377	-0.6536539
Plate_3	17	E11	Null	331	3.6045582	0.46751347
Plate_3	19	F3	WT	185	-2.1378312	-1.7906532
Plate_3_prime	19	C12	Null	321	2.1569622	-1.4754264
Plate_3	15	D11	Null	216	2.120203	1.5883704
Plate_3_prime	18	E12	Null	328	4.621956	0.32257092
Plate_3	9	F12	Null	647	1.6299579	-1.3094448
Plate_3	12	D12	Null	623	4.5167603	0.48843613
Plate_3	21	C4	WT	666	7.073674	1.7694685
Plate_3	21	E12	Null	607	2.5865388	-3.1058595
Plate_5	4	F10	Null	152	-1.4198284	1.1899655
Plate_5	7	D10	Null	157	1.5000015	-1.3369683
Plate_3_prime	20	G4	WT	388	3.4363492	-1.1363848
Plate_5	9	F9	Null	149	0.29751164	-0.18189439
Plate_3_prime	19	G3	WT	248	0.22266251	-0.00014927691
Plate_5	9	D11	Null	178	0.021013636	1.2350682
Plate_3_prime	24	B11	Null	53	1.3722324	-0.5900084
Plate_3	16	D10	Null	135	0.2818213	-0.093291655
Plate_5	11	C11	Null	154	2.0036426	2.6662343
Plate_3	11	C12	Null	570	-2.586466	0.24818102
